iter	Passed	Remaining
0	46	46373
1	46	23378
2	47	15687
3	47	11827
4	47	9504
5	48	7953
6	48	6845
7	48	6012
8	48	5364
9	48	4846
10	49	4422
11	49	4068
12	49	3769
13	49	3513
14	50	3290
15	50	3095
16	50	2923
17	50	2770
18	51	2633
19	51	2511
20	51	2399
21	51	2298
22	51	2205
23	52	2120
24	52	2042
25	52	1970
26	52	1903
27	53	1841
28	53	1783
29	53	1729
30	53	1680
31	53	1633
32	54	1589
33	54	1547
34	54	1508
35	54	1470
36	55	1435
37	55	1402
38	55	1370
39	55	1340
40	56	1312
41	56	1285
42	56	1259
43	56	1235
44	57	1211
45	57	1189
46	57	1167
47	57	1146
48	58	1126
49	58	1107
50	58	1088
51	58	1070
52	58	1053
53	59	1036
54	59	1020
55	59	1004
56	59	989
57	60	975
58	60	962
59	60	948
60	60	935
61	60	922
62	61	911
63	61	899
64	61	887
65	61	876
66	62	865
67	62	855
68	62	844
69	62	834
70	63	825
71	63	815
72	63	806
73	63	797
74	63	788
75	64	780
76	64	771
77	64	763
78	64	755
79	65	748
80	65	740
81	65	733
82	65	724
83	65	717
84	66	710
85	66	704
86	66	697
87	66	691
88	66	685
89	67	679
90	67	673
91	67	667
92	67	661
93	68	656
94	68	650
95	68	645
96	68	639
97	68	634
98	69	629
99	69	624
100	69	619
101	69	614
102	70	610
103	70	605
104	70	600
105	70	596
106	70	592
107	71	587
108	71	583
109	71	579
110	71	576
111	72	572
112	72	568
113	72	564
114	72	561
115	73	557
116	73	553
117	73	550
118	73	546
119	74	543
120	74	539
121	74	536
122	74	532
123	74	529
124	75	526
125	75	523
126	75	520
127	75	517
128	76	514
129	76	511
130	76	508
131	76	505
132	77	502
133	77	499
134	77	496
135	77	494
136	77	491
137	78	488
138	78	485
139	78	483
140	78	480
141	79	477
142	79	474
143	79	472
144	79	470
145	79	467
146	80	465
147	80	462
148	80	460
149	80	458
150	81	455
151	81	453
152	81	451
153	81	449
154	81	446
155	82	444
156	82	442
157	82	440
158	82	438
159	83	436
160	83	433
161	83	431
162	83	429
163	83	427
164	84	425
165	84	423
166	84	421
167	84	419
168	85	418
169	85	416
170	85	414
171	85	412
172	85	410
173	86	409
174	86	407
175	86	405
176	86	403
177	87	402
178	87	400
179	87	398
180	87	397
181	88	395
182	88	393
183	88	392
184	88	390
185	88	389
186	89	387
187	89	385
188	89	384
189	89	382
190	90	381
191	90	379
192	90	378
193	90	376
194	90	375
195	91	374
196	91	372
197	91	371
198	91	369
199	92	368
200	92	367
201	92	365
202	92	364
203	93	363
204	93	362
205	93	361
206	93	359
207	94	358
208	94	357
209	94	356
210	94	354
211	95	353
212	95	352
213	95	351
214	95	349
215	96	348
216	96	347
217	96	346
218	96	345
219	97	344
220	97	342
221	97	341
222	97	340
223	97	339
224	98	338
225	98	337
226	98	336
227	98	334
228	99	333
229	99	332
230	99	331
231	99	330
232	100	329
233	100	328
